Driver,Team,LapNumber,LapTimeSeconds,Stint,TyreLife,Compound,TrackStatus,PitInTime,PitOutTime
VER,Red Bull Racing,1,92.19,1.0,1.0,MEDIUM,1,,
VER,Red Bull Racing,2,90.71,1.0,2.0,MEDIUM,1,,
VER,Red Bull Racing,3,90.408,1.0,3.0,MEDIUM,1,,
VER,Red Bull Racing,4,90.716,1.0,4.0,MEDIUM,1,,
VER,Red Bull Racing,5,90.552,1.0,5.0,MEDIUM,1,,
VER,Red Bull Racing,6,90.44,1.0,6.0,MEDIUM,1,,
VER,Red Bull Racing,7,90.529,1.0,7.0,MEDIUM,1,,
VER,Red Bull Racing,8,90.516,1.0,8.0,MEDIUM,1,,
VER,Red Bull Racing,9,90.632,1.0,9.0,MEDIUM,1,,
VER,Red Bull Racing,10,90.506,1.0,10.0,MEDIUM,1,,
VER,Red Bull Racing,11,90.561,1.0,11.0,MEDIUM,1,,
VER,Red Bull Racing,12,90.59,1.0,12.0,MEDIUM,1,,
VER,Red Bull Racing,13,90.561,1.0,13.0,MEDIUM,1,,
VER,Red Bull Racing,14,90.647,1.0,14.0,MEDIUM,1,,
VER,Red Bull Racing,15,90.267,1.0,15.0,MEDIUM,1,,
VER,Red Bull Racing,16,92.558,1.0,16.0,MEDIUM,1,0 days 01:26:36.112000,
VER,Red Bull Racing,17,110.188,2.0,1.0,HARD,1,,0 days 01:26:57.721000
VER,Red Bull Racing,18,89.896,2.0,2.0,HARD,1,,
VER,Red Bull Racing,19,89.386,2.0,3.0,HARD,1,,
VER,Red Bull Racing,20,89.628,2.0,4.0,HARD,1,,
VER,Red Bull Racing,21,89.127,2.0,5.0,HARD,1,,
VER,Red Bull Racing,22,89.689,2.0,6.0,HARD,1,,
VER,Red Bull Racing,23,89.634,2.0,7.0,HARD,1,,
VER,Red Bull Racing,24,89.293,2.0,8.0,HARD,1,,
VER,Red Bull Racing,25,89.401,2.0,9.0,HARD,1,,
VER,Red Bull Racing,26,89.289,2.0,10.0,HARD,1,,
VER,Red Bull Racing,27,89.156,2.0,11.0,HARD,1,,
VER,Red Bull Racing,28,89.217,2.0,12.0,HARD,1,,
VER,Red Bull Racing,29,89.183,2.0,13.0,HARD,1,,
VER,Red Bull Racing,30,89.266,2.0,14.0,HARD,1,,
VER,Red Bull Racing,31,89.149,2.0,15.0,HARD,1,,
VER,Red Bull Racing,32,89.1,2.0,16.0,HARD,1,,
VER,Red Bull Racing,33,89.137,2.0,17.0,HARD,1,,
VER,Red Bull Racing,34,89.077,2.0,18.0,HARD,1,,
VER,Red Bull Racing,35,89.148,2.0,19.0,HARD,1,,
VER,Red Bull Racing,36,88.902,2.0,20.0,HARD,1,,
VER,Red Bull Racing,37,88.91,2.0,21.0,HARD,1,,
VER,Red Bull Racing,38,89.073,2.0,22.0,HARD,1,,
VER,Red Bull Racing,39,88.849,2.0,23.0,HARD,1,,
VER,Red Bull Racing,40,89.053,2.0,24.0,HARD,1,,
VER,Red Bull Racing,41,89.003,2.0,25.0,HARD,1,,
VER,Red Bull Racing,42,89.082,2.0,26.0,HARD,1,,
VER,Red Bull Racing,43,91.391,2.0,27.0,HARD,1,0 days 02:07:08.444000,
VER,Red Bull Racing,44,108.17,3.0,1.0,HARD,1,,0 days 02:07:29.615000
VER,Red Bull Racing,45,86.993,3.0,2.0,HARD,1,,
VER,Red Bull Racing,46,87.902,3.0,3.0,HARD,1,,
VER,Red Bull Racing,47,87.962,3.0,4.0,HARD,1,,
VER,Red Bull Racing,48,87.968,3.0,5.0,HARD,1,,
VER,Red Bull Racing,49,87.901,3.0,6.0,HARD,1,,
VER,Red Bull Racing,50,88.04,3.0,7.0,HARD,1,,
VER,Red Bull Racing,51,87.849,3.0,8.0,HARD,1,,
VER,Red Bull Racing,52,87.851,3.0,9.0,HARD,1,,
VER,Red Bull Racing,53,87.683,3.0,10.0,HARD,1,,
VER,Red Bull Racing,54,87.513,3.0,11.0,HARD,1,,
VER,Red Bull Racing,55,87.93,3.0,12.0,HARD,1,,
VER,Red Bull Racing,56,87.727,3.0,13.0,HARD,1,,
VER,Red Bull Racing,57,87.98,3.0,14.0,HARD,1,,
VER,Red Bull Racing,58,88.545,3.0,15.0,HARD,1,,
LEC,Ferrari,1,93.119,1.0,1.0,MEDIUM,1,,
LEC,Ferrari,2,91.117,1.0,2.0,MEDIUM,1,,
LEC,Ferrari,3,90.5,1.0,3.0,MEDIUM,1,,
LEC,Ferrari,4,90.884,1.0,4.0,MEDIUM,1,,
LEC,Ferrari,5,90.459,1.0,5.0,MEDIUM,1,,
LEC,Ferrari,6,90.544,1.0,6.0,MEDIUM,1,,
LEC,Ferrari,7,90.373,1.0,7.0,MEDIUM,1,,
LEC,Ferrari,8,90.631,1.0,8.0,MEDIUM,1,,
LEC,Ferrari,9,90.431,1.0,9.0,MEDIUM,1,,
LEC,Ferrari,10,90.609,1.0,10.0,MEDIUM,1,,
LEC,Ferrari,11,90.613,1.0,11.0,MEDIUM,1,,
LEC,Ferrari,12,90.584,1.0,12.0,MEDIUM,1,,
LEC,Ferrari,13,90.817,1.0,13.0,MEDIUM,1,,
LEC,Ferrari,14,90.571,1.0,14.0,MEDIUM,1,,
LEC,Ferrari,15,90.618,1.0,15.0,MEDIUM,1,,
LEC,Ferrari,16,90.711,1.0,16.0,MEDIUM,1,,
LEC,Ferrari,17,92.468,1.0,17.0,MEDIUM,1,0 days 01:28:08.877000,
LEC,Ferrari,18,110.342,2.0,1.0,HARD,1,,0 days 01:28:30.767000
LEC,Ferrari,19,89.908,2.0,2.0,HARD,1,,
LEC,Ferrari,20,90.073,2.0,3.0,HARD,1,,
LEC,Ferrari,21,89.724,2.0,4.0,HARD,1,,
LEC,Ferrari,22,89.704,2.0,5.0,HARD,1,,
LEC,Ferrari,23,89.847,2.0,6.0,HARD,1,,
LEC,Ferrari,24,89.577,2.0,7.0,HARD,1,,
LEC,Ferrari,25,89.707,2.0,8.0,HARD,1,,
LEC,Ferrari,26,89.655,2.0,9.0,HARD,1,,
LEC,Ferrari,27,89.21,2.0,10.0,HARD,1,,
LEC,Ferrari,28,89.556,2.0,11.0,HARD,1,,
LEC,Ferrari,29,89.556,2.0,12.0,HARD,1,,
LEC,Ferrari,30,89.428,2.0,13.0,HARD,1,,
LEC,Ferrari,31,89.554,2.0,14.0,HARD,1,,
LEC,Ferrari,32,89.815,2.0,15.0,HARD,1,,
LEC,Ferrari,33,89.693,2.0,16.0,HARD,1,,
LEC,Ferrari,34,89.447,2.0,17.0,HARD,1,,
LEC,Ferrari,35,91.443,2.0,18.0,HARD,1,0 days 01:55:25.030000,
LEC,Ferrari,36,108.82,3.0,1.0,HARD,1,,0 days 01:55:46.358000
LEC,Ferrari,37,89.035,3.0,2.0,HARD,1,,
LEC,Ferrari,38,88.736,3.0,3.0,HARD,1,,
LEC,Ferrari,39,88.759,3.0,4.0,HARD,1,,
LEC,Ferrari,40,88.546,3.0,5.0,HARD,1,,
LEC,Ferrari,41,88.466,3.0,6.0,HARD,1,,
LEC,Ferrari,42,88.277,3.0,7.0,HARD,1,,
LEC,Ferrari,43,88.211,3.0,8.0,HARD,1,,
LEC,Ferrari,44,88.199,3.0,9.0,HARD,1,,
LEC,Ferrari,45,88.395,3.0,10.0,HARD,1,,
LEC,Ferrari,46,88.446,3.0,11.0,HARD,1,,
LEC,Ferrari,47,88.221,3.0,12.0,HARD,1,,
LEC,Ferrari,48,88.419,3.0,13.0,HARD,1,,
LEC,Ferrari,49,88.396,3.0,14.0,HARD,1,,
LEC,Ferrari,50,88.258,3.0,15.0,HARD,1,,
LEC,Ferrari,51,88.695,3.0,16.0,HARD,1,,
LEC,Ferrari,52,88.603,3.0,17.0,HARD,1,,
LEC,Ferrari,53,88.545,3.0,18.0,HARD,1,,
LEC,Ferrari,54,88.778,3.0,19.0,HARD,1,,
LEC,Ferrari,55,88.552,3.0,20.0,HARD,1,,
LEC,Ferrari,56,88.657,3.0,21.0,HARD,1,,
LEC,Ferrari,57,89.031,3.0,22.0,HARD,1,,
LEC,Ferrari,58,91.284,3.0,23.0,HARD,1,,
RUS,Mercedes,1,94.776,1.0,1.0,MEDIUM,1,,
RUS,Mercedes,2,91.598,1.0,2.0,MEDIUM,1,,
RUS,Mercedes,3,90.598,1.0,3.0,MEDIUM,1,,
RUS,Mercedes,4,90.797,1.0,4.0,MEDIUM,1,,
RUS,Mercedes,5,90.689,1.0,5.0,MEDIUM,1,,
RUS,Mercedes,6,90.808,1.0,6.0,MEDIUM,1,,
RUS,Mercedes,7,90.842,1.0,7.0,MEDIUM,1,,
RUS,Mercedes,8,90.933,1.0,8.0,MEDIUM,1,,
RUS,Mercedes,9,90.767,1.0,9.0,MEDIUM,1,,
RUS,Mercedes,10,91.14,1.0,10.0,MEDIUM,1,,
RUS,Mercedes,11,90.856,1.0,11.0,MEDIUM,1,,
RUS,Mercedes,12,90.95,1.0,12.0,MEDIUM,1,,
RUS,Mercedes,13,90.816,1.0,13.0,MEDIUM,1,,
RUS,Mercedes,14,92.471,1.0,14.0,MEDIUM,1,0 days 01:23:41.708000,
RUS,Mercedes,15,109.517,2.0,1.0,HARD,1,,0 days 01:24:03.489000
RUS,Mercedes,16,89.537,2.0,2.0,HARD,1,,
RUS,Mercedes,17,90.049,2.0,3.0,HARD,1,,
RUS,Mercedes,18,89.522,2.0,4.0,HARD,1,,
RUS,Mercedes,19,90.358,2.0,5.0,HARD,1,,
RUS,Mercedes,20,90.088,2.0,6.0,HARD,1,,
RUS,Mercedes,21,90.118,2.0,7.0,HARD,1,,
RUS,Mercedes,22,89.786,2.0,8.0,HARD,1,,
RUS,Mercedes,23,89.672,2.0,9.0,HARD,1,,
RUS,Mercedes,24,89.355,2.0,10.0,HARD,1,,
RUS,Mercedes,25,89.545,2.0,11.0,HARD,1,,
RUS,Mercedes,26,89.54,2.0,12.0,HARD,1,,
RUS,Mercedes,27,89.432,2.0,13.0,HARD,1,,
RUS,Mercedes,28,89.565,2.0,14.0,HARD,1,,
RUS,Mercedes,29,89.722,2.0,15.0,HARD,1,,
RUS,Mercedes,30,89.84,2.0,16.0,HARD,1,,
RUS,Mercedes,31,89.402,2.0,17.0,HARD,1,,
RUS,Mercedes,32,89.692,2.0,18.0,HARD,1,,
RUS,Mercedes,33,89.593,2.0,19.0,HARD,1,,
RUS,Mercedes,34,90.962,2.0,20.0,HARD,1,0 days 01:53:57.031000,
RUS,Mercedes,35,109.329,3.0,1.0,HARD,1,,0 days 01:54:19.171000
RUS,Mercedes,36,88.687,3.0,2.0,HARD,1,,
RUS,Mercedes,37,88.943,3.0,3.0,HARD,1,,
RUS,Mercedes,38,89.243,3.0,4.0,HARD,1,,
