Year,Event,Session,Driver,Team,LapNumber,micro_sector,Speed,Throttle,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
2023,Abu Dhabi,R,VER,Red Bull Racing,1,0,79.03062006366113,59.4835874697022,1.0,27.7,92.19,2.471055555
2023,Abu Dhabi,R,VER,Red Bull Racing,1,1,199.26821246060607,100.0,1.0,27.7,92.19,5.483454545
2023,Abu Dhabi,R,VER,Red Bull Racing,1,2,172.25781643756036,16.273040250980394,1.0,27.7,92.19,7.56017647
2023,Abu Dhabi,R,VER,Red Bull Racing,1,3,157.0455325803913,82.97455177142857,1.0,27.7,92.19,9.6555625
2023,Abu Dhabi,R,VER,Red Bull Racing,1,4,213.61721509818182,100.0,1.0,27.7,92.19,11.498090909
2023,Abu Dhabi,R,VER,Red Bull Racing,1,5,240.10883641777778,100.0,1.0,27.7,92.19,13.185333333
2023,Abu Dhabi,R,VER,Red Bull Racing,1,6,254.60325975645583,100.0,1.0,27.7,92.19,14.662153846
2023,Abu Dhabi,R,VER,Red Bull Racing,1,7,260.9355841433766,100.0,1.0,27.7,92.19,16.133818181
2023,Abu Dhabi,R,VER,Red Bull Racing,1,8,267.1115075645374,100.0,1.0,27.7,92.19,17.4453
2023,Abu Dhabi,R,VER,Red Bull Racing,1,9,277.3648569234286,100.0,1.0,27.7,92.19,18.7055
2023,Abu Dhabi,R,VER,Red Bull Racing,1,10,284.0041356167901,100.0,1.0,27.7,92.19,19.974888888
2023,Abu Dhabi,R,VER,Red Bull Racing,1,11,288.7300138901949,98.33333841269842,1.0,27.7,92.19,21.190444444
2023,Abu Dhabi,R,VER,Red Bull Racing,1,12,211.4905924310204,1.989799183673469,1.0,27.7,92.19,22.770285714
2023,Abu Dhabi,R,VER,Red Bull Racing,1,13,117.93838707218772,28.63046640168421,1.0,27.7,92.19,25.164473684
2023,Abu Dhabi,R,VER,Red Bull Racing,1,14,175.1440325740797,99.73589738119657,1.0,27.7,92.19,27.734384615
2023,Abu Dhabi,R,VER,Red Bull Racing,1,15,228.21660592761904,100.0,1.0,27.7,92.19,29.595
2023,Abu Dhabi,R,VER,Red Bull Racing,1,16,252.53114517333333,100.0,1.0,27.7,92.19,31.080083333
