Driver,driver_id,Team,team_id,LapNumber,Compound,compound_id,TyreLife,Stint,TrackStatus,LapTimeSeconds,log_lap_time
VER,1,Red Bull Racing,1,2,MEDIUM,2,1,1,0,90.71,4.507667604626853
VER,1,Red Bull Racing,1,3,MEDIUM,2,2,1,1,90.408,4.504332759057849
VER,1,Red Bull Racing,1,4,MEDIUM,2,3,1,0,90.716,4.507733747296616
VER,1,Red Bull Racing,1,9,MEDIUM,2,8,1,1,90.632,4.5068073515711875
VER,1,Red Bull Racing,1,10,MEDIUM,2,9,1,1,90.506,4.505416146850784
VER,1,Red Bull Racing,1,11,MEDIUM,2,10,1,1,90.561,4.5060236567967324
VER,1,Red Bull Racing,1,19,HARD,3,2,2,0,89.386,4.4929640703639055
VER,1,Red Bull Racing,1,20,HARD,3,3,2,0,89.628,4.49566777116293
VER,1,Red Bull Racing,1,21,HARD,3,4,2,1,89.127,4.490062318875385
VER,1,Red Bull Racing,1,25,HARD,3,8,2,0,89.401,4.493131867799236
VER,1,Red Bull Racing,1,26,HARD,3,9,2,0,89.289,4.491878300003985
VER,1,Red Bull Racing,1,27,HARD,3,10,2,0,89.156,4.490387644343946
VER,1,Red Bull Racing,1,28,HARD,3,11,2,0,89.217,4.491071604386979
VER,1,Red Bull Racing,1,39,HARD,3,22,2,1,88.849,4.486938299613294
VER,1,Red Bull Racing,1,40,HARD,3,23,2,0,89.053,4.48923169810701
VER,1,Red Bull Racing,1,45,HARD,3,1,3,1,86.993,4.4658276556474075
VER,1,Red Bull Racing,1,46,HARD,3,2,3,1,87.902,4.476222557560838
VER,1,Red Bull Racing,1,47,HARD,3,3,3,1,87.962,4.476904903036068
VER,1,Red Bull Racing,1,48,HARD,3,4,3,1,87.968,4.4769731119828355
VER,1,Red Bull Racing,1,49,HARD,3,5,3,0,87.901,4.476211181190696
VER,1,Red Bull Racing,1,50,HARD,3,6,3,1,88.04,4.477791256658261
VER,1,Red Bull Racing,1,51,HARD,3,7,3,1,87.849,4.475619431529047
VER,1,Red Bull Racing,1,52,HARD,3,8,3,0,87.851,4.475642197607591
VER,1,Red Bull Racing,1,53,HARD,3,9,3,1,87.683,4.473728037942841
VER,1,Red Bull Racing,1,54,HARD,3,10,3,1,87.513,4.471787353756499
VER,1,Red Bull Racing,1,55,HARD,3,11,3,1,87.93,4.4765410433909105
PER,2,Red Bull Racing,1,2,MEDIUM,2,1,1,0,91.672,4.518216989124147
PER,2,Red Bull Racing,1,3,MEDIUM,2,2,1,1,90.469,4.505007250588697
PER,2,Red Bull Racing,1,4,MEDIUM,2,3,1,0,90.759,4.508207641781308
PER,2,Red Bull Racing,1,9,MEDIUM,2,8,1,1,91.287,4.514008389730078
PER,2,Red Bull Racing,1,10,MEDIUM,2,9,1,1,91.214,4.51320839407095
PER,2,Red Bull Racing,1,11,MEDIUM,2,10,1,1,91.535,4.516721412802978
PER,2,Red Bull Racing,1,19,HARD,3,1,2,0,89.365,4.492729106642342
PER,2,Red Bull Racing,1,20,HARD,3,2,2,0,89.107,4.489837894802717
PER,2,Red Bull Racing,1,21,HARD,3,3,2,1,88.986,4.488479053987881
PER,2,Red Bull Racing,1,25,HARD,3,7,2,0,89.572,4.495042771142585
PER,2,Red Bull Racing,1,26,HARD,3,8,2,0,89.864,4.498297416339268
PER,2,Red Bull Racing,1,27,HARD,3,9,2,0,89.34,4.492449315923973
PER,2,Red Bull Racing,1,28,HARD,3,10,2,0,88.954,4.48811938218452
PER,2,Red Bull Racing,1,39,HARD,3,21,2,1,89.13,4.490095978142626
PER,2,Red Bull Racing,1,40,HARD,3,22,2,0,88.909,4.487613374741037
PER,2,Red Bull Racing,1,45,HARD,3,2,3,1,87.837,4.475482824172529
PER,2,Red Bull Racing,1,46,HARD,3,3,3,1,87.914,4.476359063908595
PER,2,Red Bull Racing,1,47,HARD,3,4,3,1,88.401,4.48188328179681
PER,2,Red Bull Racing,1,48,HARD,3,5,3,1,87.97,4.476995847264583
PER,2,Red Bull Racing,1,49,HARD,3,6,3,0,87.926,4.476495551624913
PER,2,Red Bull Racing,1,50,HARD,3,7,3,1,87.758,4.474583026281586
PER,2,Red Bull Racing,1,51,HARD,3,8,3,1,87.866,4.475812926678045
PER,2,Red Bull Racing,1,52,HARD,3,9,3,0,87.886,4.476040520106129
PER,2,Red Bull Racing,1,53,HARD,3,10,3,1,88.307,4.48081937966599
PER,2,Red Bull Racing,1,54,HARD,3,11,3,1,88.024,4.477609504567612
PER,2,Red Bull Racing,1,55,HARD,3,12,3,1,88.187,4.479459559859185
HAM,3,Mercedes,2,2,MEDIUM,2,1,1,0,91.727,4.518816774309986
HAM,3,Mercedes,2,3,MEDIUM,2,2,1,1,91.526,4.516623084923121
HAM,3,Mercedes,2,4,MEDIUM,2,3,1,0,90.844,4.509143749733346
HAM,3,Mercedes,2,9,MEDIUM,2,8,1,1,91.132,4.512309004936804
HAM,3,Mercedes,2,10,MEDIUM,2,9,1,1,91.271,4.513833102971448
HAM,3,Mercedes,2,11,MEDIUM,2,10,1,1,91.378,4.515004749268339
HAM,3,Mercedes,2,19,HARD,3,3,2,0,89.979,4.499576309770474
HAM,3,Mercedes,2,20,HARD,3,4,2,0,89.657,4.49599127843072
HAM,3,Mercedes,2,21,HARD,3,5,2,1,89.85,4.498141613229568
HAM,3,Mercedes,2,25,HARD,3,9,2,0,89.37,4.492785055393301
HAM,3,Mercedes,2,26,HARD,3,10,2,0,89.899,4.4986868179451855
HAM,3,Mercedes,2,27,HARD,3,11,2,0,89.568,4.494998113333043
HAM,3,Mercedes,2,28,HARD,3,12,2,0,89.691,4.496370429582752
HAM,3,Mercedes,2,39,HARD,3,3,3,1,89.221,4.491116437886578
HAM,3,Mercedes,2,40,HARD,3,4,3,0,88.867,4.487140870007198
HAM,3,Mercedes,2,45,HARD,3,9,3,1,89.023,4.488894763311936
HAM,3,Mercedes,2,46,HARD,3,10,3,1,89.729,4.49679401670312
HAM,3,Mercedes,2,47,HARD,3,11,3,1,89.528,4.494551425515726
HAM,3,Mercedes,2,48,HARD,3,12,3,1,88.814,4.48654429522912
HAM,3,Mercedes,2,49,HARD,3,13,3,0,88.809,4.486487996213775
