Driver,driver_id,Team,team_id,compound_id,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TimeSeconds,AirTemp,TrackTemp,TyreLife
VER,1,Red Bull Racing,1,2,2,1,233,100,0,11528,0.4289999999999867,27,33.6,1
VER,1,Red Bull Racing,1,2,2,2,248.75,100,0,11143,1.04,27,33.6,1
VER,1,Red Bull Racing,1,2,2,3,262,100,0,11075.5,0.72,27,33.6,1
VER,1,Red Bull Racing,1,2,2,4,268,100,0,10731.5,0.56,27,33.6,1
VER,1,Red Bull Racing,1,2,2,5,271.75,86.75,0,10698,0.841,27,33.6,1
VER,1,Red Bull Racing,1,2,2,6,245.66666666666663,0,100,9767.333333333334,0.76,27,33.6,1
VER,1,Red Bull Racing,1,2,2,7,184.2,0,100,9957.6,1,27,33.6,1
VER,1,Red Bull Racing,1,2,2,8,154.8,24.8,0,9198.8,1.159,27,33.6,1
VER,1,Red Bull Racing,1,2,2,9,169.2,91.8,0,10551.4,1.24,27,33.6,1
VER,1,Red Bull Racing,1,2,2,10,205,100,0,10858.25,0.92,27,33.6,1
VER,1,Red Bull Racing,1,2,2,11,224.5,100,0,11427.5,0.6799999999999999,27,33.6,1
VER,1,Red Bull Racing,1,2,2,12,235,81.5,0,10595.5,0.6799999999999999,27,33.6,1
VER,1,Red Bull Racing,1,2,2,13,236.66666666666663,87.66666666666667,0,10739.333333333334,1.001,27,33.6,1
VER,1,Red Bull Racing,1,2,2,14,244,89.33333333333333,0,10958.666666666666,0.76,27,33.6,1
VER,1,Red Bull Racing,1,2,2,15,245.5,72.5,0,10994.5,0.6799999999999999,27,33.6,1
VER,1,Red Bull Racing,1,2,2,16,244,79,0,10961.666666666666,0.839,27,33.6,1
VER,1,Red Bull Racing,1,2,2,17,246,89.5,0,11072.5,0.72,27,33.6,1
VER,1,Red Bull Racing,1,2,2,18,249.66666666666663,91.66666666666669,0,11168,0.76,27,33.6,1
VER,1,Red Bull Racing,1,2,2,19,257.6666666666667,100,0,11251,0.76,27,33.6,1
VER,1,Red Bull Racing,1,2,2,20,266.5,100,0,10602,0.8,27,33.6,1
VER,1,Red Bull Racing,1,2,2,21,272,100,0,10779.5,0.44100000000000006,27,33.6,1
VER,1,Red Bull Racing,1,2,2,22,278,100,0,11027.333333333334,0.8400000000000001,27,33.6,1
VER,1,Red Bull Racing,1,2,2,23,282.5,100,0,11171.5,0.48,27,33.6,1
VER,1,Red Bull Racing,1,2,2,24,283,50,0,11145.5,0.8400000000000001,27,33.6,1
VER,1,Red Bull Racing,1,2,2,25,271.5,0,50,10581.5,0.56,27,33.6,1
VER,1,Red Bull Racing,1,2,2,26,218.75,0,100,9449.75,0.919,27,33.6,1
VER,1,Red Bull Racing,1,2,2,27,131.71428571428572,0,85.71428571428571,8857.57142857143,1.84,27,33.6,1
VER,1,Red Bull Racing,1,2,2,28,104.66666666666669,34.166666666666664,0,7797.833333333333,1.681,27,33.6,1
VER,1,Red Bull Racing,1,2,2,29,139.25,86,0,10449.75,1.24,27,33.6,1
VER,1,Red Bull Racing,1,2,2,30,186.5,100,0,11009.75,1.16,27,33.6,1
VER,1,Red Bull Racing,1,2,2,31,216.33333333333337,100,0,11064.333333333334,0.799,27,33.6,1
VER,1,Red Bull Racing,1,2,2,32,230,100,0,11652,0.72,27,33.6,1
VER,1,Red Bull Racing,1,2,2,33,244.66666666666663,100,0,11344.666666666666,0.92,27,33.6,1
VER,1,Red Bull Racing,1,2,2,34,259.6666666666667,100,0,11537.666666666666,0.56,27,33.6,1
VER,1,Red Bull Racing,1,2,2,35,268.3333333333333,100,0,10665,0.801,27,33.6,1
VER,1,Red Bull Racing,1,2,2,36,275.5,100,0,10934,0.56,27,33.6,1
VER,1,Red Bull Racing,1,2,2,37,281,100,0,11139.5,0.72,27,33.6,1
VER,1,Red Bull Racing,1,2,2,38,285,100,0,11290,0.52,27,33.6,1
VER,1,Red Bull Racing,1,2,2,39,291,100,0,11493.333333333334,0.88,27,33.6,1
VER,1,Red Bull Racing,1,2,2,40,294.5,100,0,10672,0.599,27,33.6,1
VER,1,Red Bull Racing,1,2,2,41,296.5,100,0,10551,0.6000000000000001,27,33.6,1
VER,1,Red Bull Racing,1,2,2,42,297.5,100,0,10610,0.4,27,33.6,1
VER,1,Red Bull Racing,1,2,2,43,300,100,0,10649,0.8,27,33.6,1
VER,1,Red Bull Racing,1,2,2,44,302,100,0,10723.666666666666,0.64,27,33.6,1
VER,1,Red Bull Racing,1,2,2,45,303.5,100,0,10767,0.56,27,33.6,1
VER,1,Red Bull Racing,1,2,2,46,302.5,100,0,10708.5,0.681,27,33.6,1
VER,1,Red Bull Racing,1,2,2,47,301.5,100,0,10661,0.52,27,33.6,1
VER,1,Red Bull Racing,1,2,2,48,278.5,0,50,10044,0.72,27,33.6,1
VER,1,Red Bull Racing,1,2,2,49,209,0,100,8904.333333333334,1,27,33.6,1
VER,1,Red Bull Racing,1,2,2,50,102,0,100,8155.666666666667,2.119,27,33.4,1
VER,1,Red Bull Racing,1,2,2,51,78.5,23,0,6930.1,2.441,27,33.4,1
VER,1,Red Bull Racing,1,2,2,52,102.5,42.833333333333336,0,7842.166666666667,1.6,27,33.4,1
VER,1,Red Bull Racing,1,2,2,53,155,96.2,0,10172.8,1.359,27,33.4,1
VER,1,Red Bull Racing,1,2,2,54,196.5,100,0,11009,0.8400000000000001,27,33.4,1
VER,1,Red Bull Racing,1,2,2,55,219.66666666666663,100,0,11337.666666666666,0.84,27,33.4,1
VER,1,Red Bull Racing,1,2,2,56,239.33333333333337,100,0,10848.666666666666,0.88,27,33.4,1
VER,1,Red Bull Racing,1,2,2,57,254.5,100,0,11323.5,0.601,27,33.4,1
VER,1,Red Bull Racing,1,2,2,58,262,100,0,11117,0.76,27,33.4,1
VER,1,Red Bull Racing,1,2,2,59,271.6666666666667,100,0,10804.333333333334,0.8,27,33.4,1
VER,1,Red Bull Racing,1,2,2,60,278,100,0,11016,0.56,27,33.4,1
VER,1,Red Bull Racing,1,2,2,61,283.5,100,0,11211.5,0.56,27,33.4,1
VER,1,Red Bull Racing,1,2,2,62,287.6666666666667,100,0,11326.333333333334,0.839,27,33.4,1
VER,1,Red Bull Racing,1,2,2,63,292.3333333333333,100,0,11451.666666666666,0.68,27,33.4,1
VER,1,Red Bull Racing,1,2,2,64,295,100,0,10511,0.36,27,33.4,1
VER,1,Red Bull Racing,1,2,2,65,298,100,0,10610,0.8,27,33.4,1
VER,1,Red Bull Racing,1,2,2,66,300,100,0,10715,0.36,27,33.4,1
VER,1,Red Bull Racing,1,2,2,67,294.5,14.5,0,10354,0.8009999999999999,27,33.4,1
VER,1,Red Bull Racing,1,2,2,68,263.5,0,75,9272.5,0.92,27,33.4,1
VER,1,Red Bull Racing,1,2,2,69,201.25,0,100,9411.5,0.92,27,33.4,1
VER,1,Red Bull Racing,1,2,2,70,169.25,0,25,9352.25,1.08,27,33.4,1
VER,1,Red Bull Racing,1,2,2,71,155.4,23.8,0,9290.8,1.199,27,33.4,1
VER,1,Red Bull Racing,1,2,2,72,167,77.5,0,10283.75,1.12,27,33.4,1
VER,1,Red Bull Racing,1,2,2,73,188.5,93.75,0,10543.25,1.121,27,33.4,1
VER,1,Red Bull Racing,1,2,2,74,208.66666666666663,100,0,10851.666666666666,0.56,27,33.4,1
VER,1,Red Bull Racing,1,2,2,75,226,100,0,10855,0.8,27,33.4,1
VER,1,Red Bull Racing,1,2,2,76,241.66666666666663,100,0,10837,1.08,27,33.4,1
VER,1,Red Bull Racing,1,2,2,77,256.3333333333333,100,0,11432.666666666666,0.72,27,33.4,1
