driver_id,n_laps,mean_lap_time,sd_lap_time,min_lap_time,q25_75,total_time
1,26,88.932,1.1531,86.993,"87.909,89.5713",2312.23
2,26,89.163,1.2789,87.758,"87.9835,89.791",2318.24
3,26,89.6563,1.0498,88.372,"88.8102,89.959",2331.06
4,26,89.5263,1.0193,88.187,"88.6853,90.298",2327.68
5,26,89.3308,0.9373,88.221,"88.5452,90.0318",2322.6
6,26,90.5224,0.7656,89.635,"89.849,91.0955",2353.58
7,26,89.4672,0.9415,88.164,"88.601,89.8718",2326.15
8,26,89.7305,1.1724,88.149,"88.737,90.5978",2332.99
9,26,89.7415,1.0813,88.491,"88.6205,90.6348",2333.28
10,26,89.8907,1.1284,88.177,"88.861,90.859",2337.16
11,26,90.2115,0.7384,89.307,"89.5215,90.7872",2345.5
12,26,90.6558,0.5529,90.113,"90.2615,90.9918",2357.05
13,26,90.0828,1.4418,87.845,"88.7467,90.7097",2342.15
14,26,90.328,1.338,88.64,"88.9523,91.406",2348.53
15,26,90.2412,0.8155,89.256,"89.4727,90.9928",2346.27
16,26,89.9473,1.2131,88.571,"88.7678,90.727",2338.63
17,26,91.4097,0.8846,89.998,"90.5695,92.0585",2376.65
18,26,90.5235,1.0303,88.951,"89.7025,91.252",2353.61
19,26,90.9678,0.7629,89.934,"90.4352,91.515",2365.16
20,26,90.6887,0.9087,89.456,"90.0902,91.4265",2357.91
